"OBJECTID","GEN","BEZ","BL","BL_ID","county"
389,"Kyffhäuserkreis","Landkreis","Thüringen",16,"LK Kyffhäuserkreis"
390,"Schmalkalden-Meiningen","Landkreis","Thüringen",16,"LK Schmalkalden-Meiningen"
391,"Gotha","Landkreis","Thüringen",16,"LK Gotha"
392,"Sömmerda","Landkreis","Thüringen",16,"LK Sömmerda"
393,"Hildburghausen","Landkreis","Thüringen",16,"LK Hildburghausen"
394,"Ilm-Kreis","Landkreis","Thüringen",16,"LK Ilm-Kreis"
395,"Weimarer Land","Landkreis","Thüringen",16,"LK Weimarer Land"
396,"Sonneberg","Landkreis","Thüringen",16,"LK Sonneberg"
397,"Saalfeld-Rudolstadt","Landkreis","Thüringen",16,"LK Saalfeld-Rudolstadt"
398,"Saale-Holzland-Kreis","Landkreis","Thüringen",16,"LK Saale-Holzland-Kreis"
399,"Saale-Orla-Kreis","Landkreis","Thüringen",16,"LK Saale-Orla-Kreis"
400,"Greiz","Landkreis","Thüringen",16,"LK Greiz"
401,"Altenburger Land","Landkreis","Thüringen",16,"LK Altenburger Land"
404,"Berlin Reinickendorf","Bezirk","Berlin",11,"SK Berlin Reinickendorf"
405,"Berlin Charlottenburg-Wilmersdorf","Bezirk","Berlin",11,"SK Berlin Charlottenburg-Wilmersdorf"
406,"Berlin Treptow-Köpenick","Bezirk","Berlin",11,"SK Berlin Treptow-Köpenick"
407,"Berlin Pankow","Bezirk","Berlin",11,"SK Berlin Pankow"
408,"Berlin Neukölln","Bezirk","Berlin",11,"SK Berlin Neukölln"
409,"Berlin Lichtenberg","Bezirk","Berlin",11,"SK Berlin Lichtenberg"
410,"Berlin Marzahn-Hellersdorf","Bezirk","Berlin",11,"SK Berlin Marzahn-Hellersdorf"
411,"Berlin Spandau","Bezirk","Berlin",11,"SK Berlin Spandau"
412,"Berlin Steglitz-Zehlendorf","Bezirk","Berlin",11,"SK Berlin Steglitz-Zehlendorf"
413,"Berlin Mitte","Bezirk","Berlin",11,"SK Berlin Mitte"
414,"Berlin Friedrichshain-Kreuzberg","Bezirk","Berlin",11,"SK Berlin Friedrichshain-Kreuzberg"
415,"Berlin Tempelhof-Schöneberg","Bezirk","Berlin",11,"SK Berlin Tempelhof-Schöneberg"
